age,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,Grade,Pass/Fail
18,2,2,0,4,3,4,1,1,3,6,17,0
17,1,2,0,5,3,3,1,1,3,4,16,0
15,1,2,3,4,3,2,2,3,3,10,25,0
15,1,3,0,3,2,2,1,1,5,2,44,1
16,1,2,0,4,3,2,1,2,5,4,26,0
16,1,2,0,5,4,2,1,2,5,10,45,1
16,1,2,0,4,4,4,1,1,3,0,35,1
17,2,2,0,4,1,4,1,1,1,6,17,0
15,1,2,0,4,2,2,1,1,1,0,53,1
15,1,2,0,5,5,1,1,1,5,0,44,1
15,1,2,0,3,3,3,1,2,2,0,27,0
15,3,3,0,5,2,2,1,1,4,4,34,1
15,1,1,0,4,3,3,1,3,5,2,42,1
15,2,2,0,5,4,3,1,2,3,2,31,1
15,1,3,0,4,5,2,1,1,3,0,46,1
16,1,1,0,4,4,4,1,2,2,4,42,1
16,1,3,0,3,2,3,1,2,2,6,41,1
16,3,2,0,5,3,2,1,1,4,4,28,0
17,1,1,3,5,5,5,2,4,5,16,16,0
16,1,1,0,3,1,3,1,3,5,4,28,0
15,1,2,0,4,4,1,1,1,1,0,42,1
15,1,1,0,5,4,2,1,1,5,0,42,1
16,1,2,0,4,5,1,1,3,5,2,46,1
16,2,2,0,5,4,4,2,4,5,0,38,1
15,1,3,0,4,3,2,1,1,5,2,27,0
16,1,1,2,1,2,2,1,3,5,14,23,0
15,1,1,0,4,2,2,1,2,5,2,35,1
15,1,1,0,2,2,4,2,4,1,4,46,1
16,1,2,0,5,3,3,1,1,5,4,33,1
16,1,2,0,4,4,5,5,5,5,16,33,1
15,1,2,0,5,4,2,3,4,5,0,32,1
15,2,2,0,4,3,1,1,1,5,0,50,1
15,1,2,0,4,5,2,1,1,5,0,49,1
15,1,2,0,5,3,2,1,1,2,0,30,0
16,1,1,0,5,4,3,1,1,5,0,41,1
15,2,1,0,3,5,1,1,1,5,0,21,0
15,1,3,0,5,4,3,1,1,4,2,49,1
16,2,3,0,2,4,3,1,1,5,7,46,1
15,1,3,0,4,3,2,1,1,5,2,35,1
15,1,1,0,4,3,1,1,1,2,8,40,1
16,2,2,1,3,3,3,1,2,3,25,28,0
15,1,1,0,5,4,3,2,4,5,8,36,1
15,1,2,0,4,3,3,1,1,5,2,55,1
15,1,1,0,5,4,1,1,1,1,0,27,0
16,2,2,1,4,3,3,2,2,5,14,29,0
15,1,2,0,5,2,2,1,1,5,8,22,0
16,1,2,0,2,3,5,1,4,3,12,34,1
16,1,4,0,4,2,2,1,1,2,4,58,1
15,1,2,0,4,3,3,2,2,5,2,44,1
15,1,2,1,4,4,4,1,1,3,2,21,0
16,3,2,0,4,3,3,2,3,4,2,38,1
15,1,2,0,4,3,3,1,1,5,2,37,1
15,2,1,1,5,5,5,3,4,5,6,32,1
15,1,1,0,3,3,4,2,3,5,0,29,0
15,1,1,0,5,3,4,4,4,1,6,36,1
16,1,2,0,5,3,4,1,1,2,8,27,0
15,1,2,0,4,3,2,1,1,1,0,44,1
15,1,2,0,3,2,2,1,1,5,4,44,1
15,1,2,0,4,3,2,1,1,5,2,28,0
16,1,2,0,4,2,3,1,1,5,2,47,1
16,1,2,0,2,4,4,2,3,4,6,32,1
16,4,1,0,5,5,5,5,5,5,6,29,0
16,1,2,0,4,4,3,1,1,1,4,27,0
16,1,3,0,3,4,4,2,4,4,2,28,0
15,1,2,0,4,4,4,2,4,2,0,30,0
16,3,2,0,5,4,3,1,2,1,2,46,1
15,1,4,0,1,3,3,5,5,3,4,38,1
16,1,4,0,4,3,3,1,2,5,4,20,0
15,2,2,0,4,1,3,1,3,4,2,25,0
15,2,4,0,4,4,2,2,3,3,12,48,1
16,2,4,0,4,3,2,1,1,5,0,43,1
15,1,4,0,3,3,3,1,1,3,0,30,0
15,1,2,2,3,3,4,2,4,5,2,19,0
16,1,1,0,5,3,2,2,2,5,2,38,1
16,1,2,0,4,3,3,2,4,5,54,34,1
15,1,2,0,4,3,3,2,3,5,6,28,0
15,2,4,0,3,4,3,1,1,1,8,32,1
16,1,4,0,5,2,3,1,3,3,0,33,1
17,2,1,3,4,5,1,1,1,3,2,26,0
16,1,2,0,2,4,3,1,2,3,12,15,0
15,1,1,0,3,2,2,1,3,3,2,34,1
15,1,3,0,5,3,2,1,2,5,4,32,1
15,1,2,0,4,4,4,1,1,5,10,19,0
15,2,2,0,5,3,3,1,3,4,4,45,1
15,1,2,0,4,3,2,2,3,4,2,29,0
15,2,2,2,4,4,4,2,3,5,6,24,0
16,1,2,0,4,3,4,1,2,2,4,21,0
15,1,3,0,5,3,3,1,3,1,4,41,1
16,2,2,1,4,4,2,1,1,3,12,31,1
16,1,2,0,4,1,3,3,5,5,18,21,0
16,1,3,0,4,3,3,1,3,4,0,22,0
15,1,1,0,4,5,5,1,3,1,4,51,1
16,1,2,0,3,3,3,2,3,2,4,19,0
16,2,2,0,5,3,3,1,1,1,0,31,1
15,1,4,0,4,3,4,1,1,4,6,38,1
15,2,4,1,3,1,2,1,1,1,2,27,0
16,2,1,0,3,3,3,1,1,4,2,41,1
16,1,2,0,4,3,5,1,1,5,2,27,0
16,1,1,0,5,3,4,1,2,1,6,39,1
16,1,3,0,5,3,5,1,1,3,0,24,0
16,1,1,0,4,5,5,5,5,4,14,19,0
16,1,3,0,4,4,3,1,1,4,0,50,1
15,1,1,0,5,3,3,1,1,5,4,37,1
15,2,2,0,4,3,5,1,1,2,26,19,0
15,1,2,0,5,4,4,1,1,1,0,52,1
15,1,4,0,4,3,3,1,1,4,10,32,1
15,1,4,0,5,1,2,1,1,3,8,23,0
16,1,3,0,5,3,3,1,1,5,2,52,1
15,4,4,0,1,3,5,3,5,1,6,36,1
16,1,3,0,5,4,5,1,1,4,4,45,1
15,1,1,0,5,5,3,1,1,4,6,56,1
16,1,3,1,4,1,2,1,1,2,0,27,0
16,1,2,1,3,1,2,1,1,5,6,36,1
15,1,1,0,3,5,2,1,1,3,10,56,1
15,1,2,0,5,4,2,1,1,5,8,27,0
16,1,2,0,5,4,4,1,2,5,2,46,1
15,2,2,0,4,4,3,1,1,2,2,38,1
16,2,1,0,5,4,2,1,1,5,0,40,1
17,3,2,1,5,2,4,1,4,5,20,24,0
15,1,1,0,3,4,3,1,2,4,6,40,1
15,1,2,0,3,2,3,1,2,1,2,46,1
15,1,4,0,5,5,4,1,2,5,6,45,1
16,2,2,0,4,2,2,1,2,5,2,39,1
16,1,1,0,3,4,4,1,4,5,18,38,1
16,1,2,0,5,4,4,1,1,5,0,23,0
15,1,1,0,5,5,5,3,2,5,0,38,1
15,1,2,0,5,3,2,1,1,1,0,28,0
19,1,2,3,3,4,2,1,1,5,2,24,0
18,1,1,2,3,3,3,1,2,4,0,11,0
16,1,1,0,3,5,5,2,5,4,8,54,1
15,2,3,2,4,2,2,2,2,5,0,12,0
15,3,1,0,4,3,3,1,2,4,0,8,0
17,1,1,0,3,4,4,1,3,5,12,35,1
16,1,1,0,3,2,1,1,4,5,16,34,1
15,4,2,0,5,3,3,1,1,5,0,9,0
15,1,3,0,4,3,3,1,1,5,0,11,0
17,3,2,0,5,4,5,2,4,5,0,10,0
16,2,1,2,4,3,2,1,1,5,0,4,0
16,1,2,1,4,4,4,1,3,5,0,38,1
15,2,1,0,4,3,2,1,1,5,0,47,1
15,2,4,0,2,2,2,1,1,3,0,16,0
16,2,1,2,2,3,3,2,2,2,8,27,0
15,1,3,0,4,2,2,1,1,5,2,31,1
16,1,1,0,3,4,4,3,3,1,2,41,1
17,1,1,3,5,4,5,1,2,5,0,5,0
15,1,2,0,4,4,2,1,2,5,0,30,0
15,1,2,3,3,3,2,1,1,3,0,13,0
15,1,2,0,4,3,2,1,1,5,2,32,1
16,1,1,0,3,3,2,2,1,5,0,13,0
15,4,1,3,4,5,5,2,5,5,0,27,0
18,1,1,3,2,3,5,2,5,4,0,11,0
16,1,1,1,4,4,4,3,5,5,6,39,1
15,2,3,2,4,2,1,2,3,3,8,30,0
19,1,1,3,4,5,4,1,1,4,0,5,0
17,1,1,0,4,2,1,1,1,4,0,34,1
15,1,2,0,4,4,4,1,1,1,2,27,0
17,1,1,0,2,2,2,3,3,5,8,41,1
18,3,1,3,5,2,5,1,5,4,6,27,0
16,3,1,0,4,2,2,1,2,3,2,47,1
16,1,2,1,4,5,5,4,4,5,4,34,1
17,2,1,2,3,3,2,2,2,5,0,13,0
15,2,2,2,4,4,4,1,4,3,6,21,0
16,2,1,1,4,4,4,2,4,5,0,7,0
17,1,1,0,5,3,3,1,4,2,2,30,0
17,4,2,3,5,3,5,1,5,5,0,20,0
16,2,1,1,4,5,2,1,1,2,16,35,1
16,1,2,0,4,3,5,2,4,4,4,30,0
16,1,2,0,4,2,3,1,1,3,0,45,1
16,1,2,0,5,1,5,1,1,4,0,13,0
16,1,2,0,4,4,2,1,1,3,0,42,1
16,3,1,2,3,4,5,2,4,2,0,11,0
16,2,2,0,4,3,2,1,1,3,2,44,1
17,1,2,0,4,4,4,1,3,5,0,34,1
16,1,2,3,4,3,5,1,1,3,0,15,0
16,2,2,0,4,4,5,1,1,4,4,30,0
17,2,2,0,4,4,4,4,4,4,4,28,0
16,2,2,0,3,4,4,1,4,5,2,37,1
17,1,2,0,4,3,4,1,4,4,4,17,0
16,1,1,0,4,3,3,3,4,3,10,27,0
17,1,2,0,5,2,3,1,1,2,4,31,1
16,1,2,0,3,4,3,2,3,3,10,25,0
16,1,2,0,4,2,3,1,2,3,2,37,1
17,1,2,0,5,4,2,2,3,5,0,50,1
17,1,2,0,5,3,3,2,3,1,56,26,0
16,1,2,0,1,2,2,1,2,1,14,37,1
17,1,2,0,4,3,4,2,3,4,12,35,1
16,1,1,0,3,3,3,1,2,3,2,34,1
16,1,2,0,4,2,3,1,2,5,0,45,1
17,1,2,0,3,3,3,1,3,3,6,24,0
17,1,2,0,3,1,3,1,5,3,4,27,0
16,1,2,0,4,3,3,1,1,2,10,36,1
17,1,2,0,5,3,3,1,1,3,0,25,0
17,2,2,0,4,4,4,4,5,5,12,23,0
16,1,1,0,4,3,2,3,4,5,8,27,0
16,2,1,0,5,3,3,1,1,3,0,41,1
17,1,2,0,4,3,2,1,1,5,0,44,1
17,1,1,0,5,2,3,1,2,5,4,48,1
16,3,1,0,3,3,4,3,5,3,8,28,0
17,2,1,1,4,2,4,2,3,2,24,54,1
16,1,2,0,4,5,2,1,2,3,0,28,0
16,1,2,0,4,3,5,1,5,2,2,48,1
16,1,2,0,4,4,3,1,3,4,6,28,0
17,1,2,0,4,4,4,1,3,1,4,28,0
17,1,1,0,5,3,2,1,2,3,18,19,0
16,2,4,0,5,3,5,1,1,5,6,31,1
17,1,3,1,4,4,3,3,4,5,28,28,0
16,1,2,3,2,3,3,2,2,4,5,21,0
16,1,2,0,1,3,2,1,1,1,10,36,1
16,2,1,0,4,3,2,1,4,5,6,28,0
17,2,3,0,4,4,2,1,1,4,6,21,0
19,1,4,0,4,3,3,1,2,3,10,24,0
17,1,2,0,5,3,5,4,5,3,13,37,1
16,1,2,0,3,3,4,1,1,4,0,39,1
18,1,2,1,4,4,4,2,4,5,15,21,0
17,1,1,0,5,2,1,1,2,3,12,28,0
17,2,2,0,4,4,4,1,3,1,2,44,1
17,1,2,2,3,4,5,2,4,1,22,16,0
18,1,2,1,3,2,4,2,4,4,13,20,0
17,2,1,0,3,3,3,1,4,3,3,22,0
17,1,3,0,4,3,3,1,1,4,4,29,0
17,2,2,0,4,2,5,1,2,5,2,18,0
17,1,3,1,4,3,4,1,1,5,0,11,0
16,1,2,0,2,3,1,1,1,3,2,49,1
18,2,2,0,3,3,3,5,5,4,0,38,1
16,1,3,0,5,3,2,1,1,5,0,40,1
18,1,2,1,5,3,3,1,1,4,16,24,0
17,1,2,0,5,3,4,1,3,3,10,46,1
17,1,2,0,5,3,3,1,3,3,2,35,1
18,4,2,0,4,3,2,4,5,3,14,27,0
17,2,3,0,3,2,3,1,2,3,10,34,1
17,1,2,0,3,2,3,1,2,3,14,40,1
17,2,2,0,4,5,2,1,1,1,4,33,1
17,1,2,0,4,5,5,1,3,2,14,29,0
16,1,2,0,4,2,4,2,4,1,2,40,1
16,2,2,0,3,4,2,1,1,5,18,22,0
16,2,3,0,5,3,3,1,3,2,10,30,0
17,1,2,0,4,4,2,5,5,4,4,40,1
16,1,1,0,4,5,2,1,1,5,20,37,1
17,3,2,0,2,1,1,1,1,3,2,35,1
18,1,2,1,5,5,4,3,5,2,0,14,0
17,2,2,0,2,5,5,1,4,5,14,36,1
17,2,2,0,3,3,3,2,3,4,2,33,1
16,1,1,0,5,4,5,1,1,3,0,6,0
16,1,1,0,5,3,2,1,2,5,0,37,1
18,2,3,0,4,4,4,1,1,3,0,7,0
16,3,1,0,4,3,3,1,1,4,6,54,1
17,2,1,0,5,2,2,1,1,2,4,37,1
22,1,1,3,5,4,5,5,5,1,16,22,0
18,1,2,1,4,3,3,1,3,5,8,13,0
16,1,1,0,4,3,2,2,4,5,0,43,1
18,2,1,1,4,4,5,2,4,5,0,22,0
16,3,2,0,5,3,3,1,3,2,6,27,0
18,1,1,1,3,2,5,2,5,5,4,23,0
16,2,1,0,3,3,2,1,3,3,0,25,0
17,1,1,0,4,4,2,2,4,5,0,32,1
17,2,1,1,4,4,4,1,2,5,2,24,0
17,1,4,0,4,2,3,1,1,4,6,39,1
19,1,2,0,4,3,1,1,1,1,12,33,1
18,1,2,0,5,2,4,1,2,4,8,43,1
17,1,4,0,3,4,1,1,1,2,0,19,0
18,1,2,0,3,1,2,1,3,2,21,53,1
18,1,2,0,4,3,2,1,1,3,2,24,0
18,1,3,0,5,3,2,1,1,3,1,37,1
17,1,3,0,3,2,3,1,1,4,4,28,0
18,1,3,0,4,3,3,1,1,3,0,19,0
18,2,2,0,4,2,5,3,4,1,13,51,1
17,1,2,0,5,4,4,3,4,5,2,28,0
18,2,2,0,4,3,4,2,2,4,8,33,1
18,1,2,0,5,4,5,1,3,5,10,29,0
18,2,2,0,4,3,5,1,2,3,0,6,0
19,1,2,2,4,3,5,3,3,5,15,27,0
18,1,4,0,4,5,5,1,3,2,4,43,1
18,2,2,0,4,4,3,1,1,3,2,33,1
17,1,2,0,3,5,2,2,2,1,2,43,1
17,2,2,0,4,3,3,1,1,1,2,30,0
17,2,2,0,4,4,4,2,3,5,6,36,1
18,2,2,0,4,1,1,1,1,5,75,28,0
18,2,1,0,3,2,4,1,4,3,22,27,0
18,1,2,1,2,4,4,1,1,4,15,25,0
18,2,1,0,4,2,3,1,2,1,8,31,1
17,2,1,0,4,5,4,2,4,5,30,24,0
17,1,1,1,4,4,4,3,4,3,19,30,0
18,2,4,0,5,2,2,1,1,3,1,36,1
18,2,2,0,5,4,4,1,1,4,4,27,0
17,1,2,0,5,4,5,1,2,5,4,30,0
17,1,2,0,4,3,3,1,2,4,2,33,1
18,1,3,0,4,3,3,1,2,2,5,55,1
17,1,3,0,4,3,3,1,1,3,6,37,1
18,1,3,0,4,2,4,1,3,2,6,43,1
18,1,2,0,5,4,3,1,1,2,9,43,1
18,1,2,0,4,3,2,1,4,5,11,34,1
17,1,3,0,4,2,2,1,2,3,0,45,1
18,1,2,1,5,4,3,1,1,5,12,37,1
17,2,4,0,3,1,2,1,1,3,6,54,1
18,2,3,0,5,4,2,1,1,4,8,41,1
17,1,1,0,4,4,3,1,3,5,4,37,1
19,2,2,0,2,3,4,2,3,2,0,19,0
18,2,2,0,4,4,5,1,2,2,10,26,0
18,1,4,0,4,3,3,1,1,3,0,41,1
18,1,1,0,1,4,2,2,2,1,5,47,1
18,1,2,0,4,2,4,1,1,4,14,33,1
17,2,1,0,4,1,1,2,2,5,0,32,1
17,2,3,0,4,3,3,1,1,3,0,41,1
17,1,4,0,5,2,2,1,2,5,0,52,1
19,1,2,1,4,4,4,1,1,3,20,42,1
18,1,2,1,4,4,3,1,1,3,8,38,1
20,1,1,0,5,5,3,1,1,5,0,53,1
19,2,1,1,4,3,4,1,1,4,38,25,0
19,1,2,1,4,5,3,1,2,5,0,39,1
19,1,2,1,4,4,3,1,3,3,18,32,1
19,1,2,1,4,2,4,2,2,3,0,18,0
19,3,2,0,3,4,1,1,1,2,20,39,1
19,1,2,1,4,5,2,2,2,4,3,35,1
19,2,2,1,4,2,2,1,2,1,22,34,1
19,1,3,2,4,1,2,1,1,3,14,41,1
19,1,3,1,4,1,2,1,1,3,40,35,1
18,2,2,0,5,3,3,1,2,1,0,16,0
18,1,3,0,4,3,4,1,1,5,9,28,0
17,1,3,0,4,3,4,2,5,5,0,32,1
18,1,2,0,4,4,4,3,3,5,2,33,1
17,1,2,0,5,2,2,1,2,5,23,39,1
17,1,2,0,4,2,2,1,1,3,12,29,0
17,1,3,0,3,3,2,2,2,3,3,33,1
17,1,3,0,3,4,3,2,3,5,1,41,1
17,2,3,0,3,3,3,2,3,2,0,46,1
18,1,3,0,4,3,3,2,2,3,3,32,1
17,1,1,0,4,3,5,3,5,5,3,45,1
17,4,1,0,4,4,5,5,5,4,8,31,1
17,1,3,0,5,4,4,1,3,4,7,28,0
17,2,3,0,4,3,3,1,2,4,4,42,1
18,1,4,0,4,5,5,2,4,5,2,25,0
17,1,3,0,4,4,3,1,1,5,7,40,1
18,1,2,0,5,3,4,1,1,4,0,7,0
18,1,2,0,4,3,3,1,1,2,0,16,0
18,2,4,0,4,4,4,1,1,4,0,19,0
17,1,3,0,4,4,5,1,3,5,16,46,1
19,1,3,1,5,4,3,1,2,5,12,40,1
17,1,2,0,4,3,2,2,3,2,0,15,0
18,1,4,0,5,3,3,1,1,1,7,48,1
17,1,2,0,4,3,3,2,3,2,4,29,0
19,1,3,1,4,3,4,1,3,3,4,34,1
18,1,2,1,4,3,3,2,2,2,0,20,0
18,1,2,0,4,3,3,1,3,5,11,46,1
17,1,2,1,3,3,1,1,2,4,0,17,0
18,1,3,0,4,3,3,1,2,3,4,31,1
18,1,3,0,5,4,3,2,3,1,7,40,1
18,1,3,0,5,3,2,1,2,4,9,47,1
18,1,3,0,5,4,5,2,3,5,0,29,0
17,1,3,0,4,4,3,1,3,4,0,43,1
18,2,1,1,2,5,5,5,5,5,10,37,1
19,3,2,3,5,4,4,3,3,2,8,23,0
17,2,2,0,4,5,4,2,3,3,2,39,1
18,1,1,1,4,3,3,2,3,3,7,23,0
19,3,1,1,4,4,4,3,3,5,4,24,0
17,2,2,0,4,5,5,1,3,2,4,35,1
18,1,2,0,5,3,4,1,1,5,0,28,0
17,2,2,0,4,3,3,1,2,5,4,38,1
17,2,2,0,1,2,3,1,2,5,2,35,1
18,2,1,0,3,3,2,1,2,3,4,30,0
18,2,3,0,5,3,2,1,1,4,0,50,1
18,3,2,0,4,3,4,1,4,5,0,39,1
18,2,2,1,4,4,3,2,3,5,2,37,1
18,2,2,0,4,3,2,1,3,3,0,32,1
17,1,2,0,2,3,4,1,1,1,0,46,1
17,2,2,0,3,2,2,1,2,3,0,35,1
18,2,2,0,3,3,4,2,4,3,4,30,0
18,2,3,0,4,2,2,2,2,5,0,39,1
17,3,1,1,5,2,1,1,2,1,0,13,0
18,2,1,0,5,2,3,1,2,4,0,31,1
18,3,2,0,3,2,2,4,2,5,10,37,1
19,2,2,2,3,2,2,1,1,3,4,23,0
18,3,1,0,4,3,3,2,3,3,3,38,1
17,1,3,0,3,4,3,1,1,3,8,35,1
17,1,1,0,3,5,5,1,3,1,14,16,0
18,2,3,0,5,4,4,1,1,1,0,56,1
18,4,3,0,4,3,2,1,2,4,2,26,0
20,2,3,2,5,4,3,1,1,3,4,44,1
18,1,2,0,5,4,3,3,4,2,4,27,0
18,1,2,0,4,1,3,1,2,1,0,45,1
17,1,2,0,4,5,4,2,3,1,17,30,0
18,1,2,0,3,2,4,1,4,2,4,43,1
18,2,1,0,4,4,3,1,3,5,5,20,0
17,2,2,0,4,4,3,1,1,3,2,32,1
19,2,1,1,4,3,2,1,3,5,0,11,0
18,2,1,1,5,4,3,4,3,3,14,16,0
18,2,3,0,5,3,3,1,3,4,2,29,0
18,3,1,0,4,4,3,2,2,5,7,17,0
19,1,3,1,5,4,2,1,2,5,0,12,0
18,1,2,0,4,3,4,1,1,1,0,24,0
18,2,2,1,1,1,1,1,1,5,0,11,0
20,1,2,2,5,5,4,4,5,4,11,27,0
17,2,1,0,2,4,5,3,4,2,3,46,1
21,1,1,3,5,5,3,3,3,3,3,25,0
18,3,1,0,4,4,1,3,4,5,0,33,1
19,1,1,0,3,2,3,3,3,5,5,26,0
